Timestamp,Room,Temp_C,Humidity_Pct,CO2_ppm,Light_Lux,Occupancy,HVAC_Status
"2026-03-30 07:25:00",Living_Room,21.48,76.7,435,0,0,OFF
"2026-03-30 07:30:00",Bedroom,21.06,73.7,419,20,0,OFF
"2026-03-30 07:35:00",Kitchen,22.96,78.7,418,0,0,OFF
"2026-03-30 07:40:00",Bathroom,22.62,85,424,6,0,OFF
"2026-03-30 07:45:00",Living_Room,21.63,81.1,430,9,0,OFF
"2026-03-30 07:50:00",Bedroom,21.14,68.9,424,0,0,OFF
"2026-03-30 07:55:00",Kitchen,23.13,85,415,0,0,OFF
"2026-03-30 08:00:00",Bathroom,22.49,80.1,419,4,0,OFF
"2026-03-30 08:05:00",Living_Room,21.6,72.6,433,9,0,OFF
"2026-03-30 08:10:00",Bedroom,21.18,80.4,419,2,0,OFF
"2026-03-30 08:15:00",Kitchen,23.23,80,421,0,0,OFF
"2026-03-30 08:20:00",Bathroom,22.48,80.4,413,16,0,OFF
"2026-03-30 08:25:00",Living_Room,20.89,80.7,445,19,0,OFF
"2026-03-30 08:30:00",Bedroom,20.47,85,421,9,0,HEATING
"2026-03-30 08:35:00",Kitchen,23.04,84.9,412,0,0,OFF
"2026-03-30 08:40:00",Bathroom,22.17,85,418,2,0,OFF
"2026-03-30 08:45:00",Living_Room,21.54,70,441,0,0,OFF
"2026-03-30 08:50:00",Bedroom,21.38,81,418,0,0,OFF
"2026-03-30 08:55:00",Kitchen,23.49,79.6,410,0,0,OFF
"2026-03-30 09:00:00",Bathroom,22.84,85,419,2,0,OFF
"2026-03-30 09:05:00",Living_Room,21.61,83.9,442,11,0,OFF
"2026-03-30 09:10:00",Bedroom,21.16,84.5,423,0,0,OFF
"2026-03-30 09:15:00",Kitchen,23.16,76.9,418,8,0,OFF
"2026-03-30 09:20:00",Bathroom,22.43,83.1,420,3,0,OFF
"2026-03-30 09:25:00",Living_Room,21.08,66.6,439,4,0,OFF
"2026-03-30 09:30:00",Bedroom,20.4,77.1,429,8,0,HEATING
"2026-03-30 09:35:00",Kitchen,23.03,85,418,12,0,OFF
"2026-03-30 09:40:00",Bathroom,21.77,84.4,418,0,0,OFF
"2026-03-30 09:45:00",Living_Room,20.8,59.4,434,5,0,OFF
"2026-03-30 09:50:00",Bedroom,20.55,78.4,425,0,0,OFF
"2026-03-30 09:55:00",Kitchen,22.56,85,424,6,0,OFF
"2026-03-30 10:00:00",Bathroom,22.2,85,417,0,0,OFF
"2026-03-30 10:05:00",Living_Room,20.94,75.7,441,11,0,OFF
"2026-03-30 10:10:00",Bedroom,20.39,75.6,424,1,0,HEATING
"2026-03-30 10:15:00",Kitchen,22.72,85,428,1,0,OFF
"2026-03-30 10:20:00",Bathroom,21.67,85,419,0,0,OFF
"2026-03-30 10:25:00",Living_Room,20.69,77.5,442,0,0,OFF
"2026-03-30 10:30:00",Bedroom,19.97,76,420,9,0,HEATING
"2026-03-30 10:35:00",Kitchen,22.58,67.2,427,0,0,OFF
"2026-03-30 10:40:00",Bathroom,21.45,85,417,0,0,OFF
"2026-03-30 10:45:00",Living_Room,20.36,82.3,437,17,0,HEATING
"2026-03-30 10:50:00",Bedroom,20.45,85,418,0,0,HEATING
"2026-03-30 10:55:00",Kitchen,22.54,79.5,419,9,0,OFF
"2026-03-30 11:00:00",Bathroom,21.51,85,413,0,0,OFF
"2026-03-30 11:05:00",Living_Room,20.5,85,431,3,0,OFF
"2026-03-30 11:10:00",Bedroom,20.26,82.1,420,0,0,HEATING
"2026-03-30 11:15:00",Kitchen,22.9,79.9,423,15,0,OFF
"2026-03-30 11:20:00",Bathroom,21.98,63.4,417,4,0,OFF
"2026-03-30 11:25:00",Living_Room,21.55,70.4,433,0,0,OFF
